"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","Omega"
"4",0.0080376992046143,0.00768953081076293,0.00954527984907843,0.00267554147340545,0.00343890217183747,0,0.0066932717833496,0.0066932717833496,0.0261501867256679,0.0261501867256679,0.0122208213225357,0.00857375000000002,"Non-Ricardian Agents omega High",0.8
"5",0.00844367297063374,0.00815248541257562,0.00970452471418575,0.00223766545695254,0.00287609542825212,0,0.00770718898298467,0.00770718898298467,0.0235918917772675,0.0235918917772675,0.011942190171191,0.00814506250000002,"Non-Ricardian Agents omega High",0.8
"6",0.00874084511333469,0.00849945409256157,0.0097860762057938,0.00185499803770619,0.00238424888719951,0,0.00852266993927758,0.00852266993927757,0.0212985382545331,0.0212985382545331,0.0116410742435531,0.00773780937500002,"Non-Ricardian Agents omega High",0.8
"7",0.00894435143078532,0.00874640680188261,0.00980145821152531,0.00152112906690882,0.00195512351568268,0,0.00916582179126402,0.00916582179126401,0.019241867472385,0.019241867472385,0.0113225872784874,0.00735091890625002,"Non-Ricardian Agents omega High",0.8
"8",0.00906750874122151,0.00890740077355468,0.00976078152916458,0.00123036873903372,0.00158140614559054,0,0.00965967317816823,0.00965967317816822,0.0173966782396676,0.0173966782396676,0.0109911502682513,0.00698337296093753,"Non-Ricardian Agents omega High",0.8
"9",0.00912202219759009,0.00899479822399499,0.00967290620513061,0.000977667771616706,0.00125660687997892,0,0.0100245224166089,0.0100245224166089,0.0157404938188464,0.0157404938188464,0.0106505739767999,0.00663420431289065,"Non-Ricardian Agents omega High",0.8
"10",0.00911816948822886,0.00901945979689688,0.00954558571181818,0.000758546374824818,0.000974967796894787,0,0.010278246988131,0.010278246988131,0.0142532652753112,0.0142532652753112,0.0103041320866949,0.00630249409724612,"Non-Ricardian Agents omega High",0.8
"11",0.00906496447596679,0.00899091642731736,0.00938559497223139,0.00056903104556228,0.000731381710162314,0,0.0104365786029133,0.0104365786029133,0.012917107234502,0.012917107234502,0.00995462601784471,0.00598736939238382,"Non-Ricardian Agents omega High",0.8
"12",0.00897030254731343,0.00891752200947296,0.0091988440193652,0.000405598326767479,0.000521319882603626,0,0.0105133476368016,0.0105133476368016,0.0117160625010515,0.0117160625010515,0.0096044423461827,0.00568800092276463,"Non-Ricardian Agents omega High",0.8
"13",0.0088410896935848,0.00880658898965333,0.0089904788810757,0.000265124766805518,0.000340767708308988,0,0.0105207003215351,0.0105207003215351,0.0106358923823598,0.0106358923823598,0.00925560364793011,0.0054036008766264,"Non-Ricardian Agents omega High",0.8
"14",0.00868335712340752,0.0086645087723355,0.00876497110606088,0.000144842397781092,0.000186167488434503,0,0.0104692916965263,0.0104692916965263,0.00966388990472263,0.00966388990472262,0.00890981350388965,0.00513342083279508,"Non-Ricardian Agents omega High",0.8
"15",0.00850236300804786,0.00849685861986353,0.0085261971906815,4.22991263178896e-05,5.43675210457529e-05,0,0.0103684569998135,0.0103684569998135,0.00878871341797946,0.00878871341797945,0.00856849631704578,0.00487674979115533,"Non-Ricardian Agents omega High",0.8
"16",0.00830268278475134,0.00830849654113929,0.00827750902757841,-4.46765031186854e-05,-5.74231889616879e-05,0,0.010226363881351,0.010226363881351,0.00800023835877266,0.00800023835877265,0.00823283252450476,0.00463291230159757,"Non-Ricardian Agents omega High",0.8
"17",0.00808828928636794,0.00810364550015122,0.00802179637351095,-0.000118006653041185,-0.000151675217695399,0,0.0100501475596671,0.0100501475596671,0.00728942518661846,0.00728942518661846,0.00790378972051342,0.00440126668651769,"Non-Ricardian Agents omega High",0.8
"18",0.00786262382585678,0.00788596812862295,0.00776154222387827,-0.000179392073844487,-0.000230574557891744,0,0.00984603080954876,0.00984603080954875,0.00664820172436202,0.00664820172436201,0.00758215015007602,0.00418120335219181,"Non-Ricardian Agents omega High",0.8
"19",0.00762865923992161,0.00765863299661038,0.00749887188350475,-0.000230336901776015,-0.000296054492013137,0,0.00961943046066531,0.0096194304606653,0.00606935832815796,0.00606935832815796,0.00726853498176954,0.00397214318458222,"Non-Ricardian Agents omega High",0.8
"20",0.00738895578534367,0.0074243733787497,0.00723559643614544,-0.000272170713140496,-0.00034982393875413,0,0.00937505190209469,0.00937505190209469,0.00554645448448853,0.00554645448448852,0.00696342572304432,0.00377353602535311,"Non-Ricardian Agents omega High",0.8
"21",0.00714571068305249,0.00718553935048849,0.00697325123761831,-0.000306068136679916,-0.000393392661043859,0,0.00911697292308259,0.00911697292308258,0.00507373558522643,0.00507373558522642,0.00666718310097634,0.00358485922408546,"Non-Ricardian Agents omega High",0.8
"22",0.00690080201727475,0.00694414395661838,0.00671312998844639,-0.000333066292923228,-0.000428093681029399,0,0.00884871807380382,0.00884871807380381,0.00464605876843652,0.00464605876843651,0.0063800636955597,0.00340561626288118,"Non-Ricardian Agents omega High",0.8
"23",0.00665582761903861,0.00670190411252449,0.00645631488045917,-0.000354080299788961,-0.000455103209593221,0,0.00857332459943539,0.00857332459943538,0.0042588268343301,0.00425882683433009,0.00610223458070536,0.00323533544973713,"Non-Ricardian Agents omega High",0.8
"24",0.00641213949382924,0.00646027682566617,0.00620370325712566,-0.00036991705744868,-0.000475458364186142,0,0.00829340088471989,0.00829340088471989,0.00390792935417725,0.00390792935417725,0.00583378619971075,0.00307356867725027,"Non-Ricardian Agents omega High",0.8
"25",0.00617087429134789,0.00622049125991595,0.00595603117873002,-0.000381287502065649,-0.00049007291868914,0,0.00801117824282709,0.00801117824282708,0.00358969018650658,0.00358969018650658,0.00557474367669679,0.00291989024338776,"Non-Ricardian Agents omega High",0.8
