"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case","ShockType"
"24",0.00375708876878353,0.00385119020960728,0.00365056469488354,-0.000189050966522295,-0.000424781182001666,0,0.00482246622466591,0.00482246622466592,0.00247727931416261,0.00247727931416261,0.00346151373008204,0.00184414120635015,"sd_epsilon_A = 0.6","A"
"25",0.00361983517234857,0.00371793948325419,0.00350877979664617,-0.000197092782345979,-0.000442850447121453,0,0.00467025337605152,0.00467025337605152,0.0022855854144261,0.0022855854144261,0.00331168701595502,0.00175193414603264,"sd_epsilon_A = 0.6","A"
"26",0.0034843262686525,0.0035853525473671,0.00336996318679713,-0.000202963052045423,-0.000456040435784568,0,0.00451665838276805,0.00451665838276806,0.0021103368213271,0.0021103368213271,0.00316700013634183,0.00166433743873101,"sd_epsilon_A = 0.6","A"
"27",0.00335099247831356,0.00345400295141292,0.0032343832622075,-0.000206949323259735,-0.000464997242683589,0,0.00436265992126546,0.00436265992126546,0.00195001735772479,0.00195001735772479,0.0030274339404746,0.00158112056679446,"sd_epsilon_A = 0.6","A"
"28",0.00322019034303719,0.00332437419919073,0.00310225284181581,-0.000209306664415826,-0.000470293984528442,0,0.00420909573642338,0.00420909573642338,0.00180325684056423,0.00180325684056423,0.00289294617886505,0.00150206453845473,"sd_epsilon_A = 0.6","A"
"29",0.00309221151526332,0.00319687045815861,0.00297373620957536,-0.000210261119586091,-0.000472438562813008,0,0.00405667899317812,0.00405667899317812,0.00166881668233575,0.00166881668233574,0.00276347509139418,0.001426961311532,"sd_epsilon_A = 0.6","A"
"30",0.00296729076270125,0.00307182610548709,0.00284895537396968,-0.00021001280541839,-0.000471880622349123,0,0.00390601286941552,0.00390601286941552,0.00154557693046821,0.00154557693046821,0.00263894256989773,0.0013556132459554,"sd_epsilon_A = 0.6","A"
"31",0.00284561309118362,0.00294951423250192,0.0027279956268898,-0.000208738686765105,-0.000469017787865172,0,0.00375760357325883,0.00375760357325883,0.00143252460013729,0.00143252460013729,0.0025192569414144,0.00128783258365763,"sd_epsilon_A = 0.6","A"
"32",0.0027273200786199,0.0028301542166732,0.00261091047611499,-0.000206595063912234,-0.000464201252594901,0,0.00361187194909574,0.00361187194909574,0.0013287431705408,0.0013287431705408,0.00240431541343749,0.00122344095447475,"sd_epsilon_A = 0.6","A"
"33",0.00261251550326541,0.00271391845907727,0.00249772601796082,-0.000203719800961585,-0.000457740785259606,0,0.0034691638198176,0.0034691638198176,0.00123340312779337,0.00123340312779337,0.00229400621818078,0.00116226890675101,"sd_epsilon_A = 0.6","A"
"34",0.00250127034093386,0.00260093837517199,0.00238844480976549,-0.000200234321910855,-0.000449909215087546,0,0.0033297591975907,0.0033297591975907,0.00114575344936935,0.00114575344936935,0.00218821048898479,0.00110415546141346,"sd_epsilon_A = 0.6","A"
